column,neotoma,rowwise,type,schema,table,chronologyname,agemodelcolumn,agetype,ageboundyounger,ageboundolder,formatorrange,taxonname,unitcolumn,uncertainty_uncertaintybasis,uncertainty_uncertaintycolumn,uncertainty_unitcolumn,taxonid,uncertaintybasis
Sr_Ca_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Sr_Ca_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Sr_isotopes_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
Sr_isotopes_measurement,ndb.data.value,True,float,sisal,Sr_isotopes,,,,,,> 0,Sr_isotopes,Sr_isotopes_measurement_units,2 Standard Deviations,Sr_isotopes_precision,Sr_isotopes_precision_units,,
Sr_isotopes_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Sr_isotopes_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Sr_isotopes,Sr_isotopes_precision_units,,,,,
Sr_isotopes_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
Sr_isotopes_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
U_Ca_measurement,ndb.data.value,True,float,sisal,U_Ca,,,,,,> 0,Uranium:Calcium,U_Ca_measurement_units,2 Standard Deviations,U_Ca_precision,U_Ca_precision_units,,
U_Ca_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
U_Ca_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,Uranium:Calcium,U_Ca_precision_units,,,,,2 Standard Deviations
U_Ca_precision_units,ndb.variables.variableunits,False,str,,,,,,,,,,,,,,,
U_Ca_method,ndb.isoinstrumentation.isointrumentationtypeid,False,,sisal,Entity,,,,,,,,,,,,,
U_Ca_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
calib_used,ndb.chroncontrolscal14.calibrationcurveid,False,,sisal,Dating,,,,,,,,,,,,,
cave_map,ndb.speleothem.imagemap,False,,sisal,Entity,,,,,,,,,,,,,
citation,ndb.publications.citation,True,string,sisal,Reference,,,,,,,,,,,,,
clumped_isotopes,ndb.speleothem.clumped_isotopes,False,,sisal,Entity,,,,,,,,,,,,,
composite_entity_id,ndb.aggregatedatasets,False,,sisal,Composite link entity,,,,,,,,,,,,,
contact,ndb.datasetpis.contactname,True,,sisal,Entity,,,,,,,,,,,,,
copernicus_lcc,ndb.speleothem.copernicus_lcc,False,,sisal,Entity,,,,,,,,,,,,,
corr_age,ndb.chroncontrols.age,True,float,sisal,Dating,,,,,,,,,,,,,
corr_age_uncert_neg,ndb.chroncontrols.agelimityounger,True,float,sisal,Dating,,,,,,,,,,,,,
corr_age_uncert_pos,ndb.chroncontrols.agelimitolder,True,float,sisal,Dating,,,,,,,,,,,,,
cover_thickness,ndb.speleothem.coverthickness,False,,sisal,Entity,,,,,,,,,,,,,
cover_type,ndb.speleothem.covertype,False,,sisal,Entity,,,,,,,,,,,,,
d13C,ndb.externalspeleothem.id,False,,sisal,Entity,,,,,,,,,,,,,
d13C_measurement,ndb.data.value,True,float,sisal,d13C,,,,,,> 0,δ13C,d13C_measurement_units,2 Standard Deviations,d13C_precision,d13C_precision_units,,
d13C_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d13C_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,δ13C,d13C_precision_units,,,,,2 Standard Deviations
d13C_precision_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d18O,ndb.externalspeleothem.id,False,,sisal,Entity,,,,,,,,,,,,,
d18O_measurement,ndb.data.value,True,float,sisal,d18O,,,,,,> 0,δ18O,d18O_measurement_units,2 Standard Deviations,d18O_precision,d18O_precision_units,,
d18O_measurement_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d18O_precision,ndb.datauncertainties.uncertaintyvalue,True,float,,,,,,,,> 0,δ18O,d18O_precision_units,,,,,2 Standard Deviations
d18O_precision_units,ndb.variables.variableunits,False,str,,,,,,,,> 0,,,,,,,
d18O_dripwater_carbonate_difference,ndb.speleothem.dripwatercarbonatedifference,False,,sisal,Entity,,,,,,,,,,,,,
date_type,ndb.chroncontrols.chroncontroltypeid,True,string,sisal,Dating,,,,,,,,,,,,,
date_type,ndb.geochronology.geochrontypeid,True,string,sisal,Dating,,,,,,,,,,,,,
dating_id,ndb.chroncontrols.chroncontrolid,False,,sisal,Dating,,,,,,,,,,,,,
dating_thickness,ndb.chroncontrols.thickness,True,float,sisal,Dating,,,,,,,,,,,,,
depth_ref,ndb.speleothem.depthreference,False,,sisal,Entity,,,,,,,,,,,,,
drip_height,ndb.speleothem.dripheightid,False,,sisal,Entity,,,,,,,,,,,,,
drip_water_trace_elements,ndb.externalspeleothem.id,False,,sisal,Entity,,,,,,,,,,,,,
entity_scan,ndb.speleothem.entityscan,False,,sisal,Entity,,,,,,,,,,,,,
fluid_inclusions,ndb.speleothem.fluidinclusions,False,,sisal,Entity,,,,,,,,,,,,,
host_rock_trace_elements,ndb.externalspeleothem.id,False,,sisal,Entity,,,,,,,,,,,,,
iso_std,ndb.isostandards.isostandardtypeid,False,,sisal,Entity,,,,,,,,,,,,,
lab_num,ndb.geochronology.labnumber,True,string,sisal,Dating,,,,,,,,,,,,,
land_use,ndb.speleothem.landuse,False,,sisal,Entity,,,,,,,,,,,,,
material_dated,ndb.geochronology.materialdated,True,string,sisal,Dating,,,,,,,,,,,,,
mineralogy_petrology_fabrics,ndb.speleothem.mineralogy_petrology_fabrics,False,,sisal,Entity,,,,,,,,,,,,,
noble_gas_temperatures,ndb.speleothem.nobel_gas_temperatures,False,,sisal,Entity,,,,,,,,,,,,,
organics,ndb.speleothem.organics,False,,sisal,Entity,,,,,,,,,,,,,
persist_id,ndb.speleothem.persistid,False,int,sisal,Entity,,,,,,,,,,,,,
publication_DOI,ndb.publications.doi,True,string,sisal,Reference,,,,,,Valid DOI regex,,,,,,,
ref_id,ndb.speleothem.speleothemid,False,,sisal,Entity link reference,,,,,,,,,,,,,
sample_id,ndb.sampleid,False,,sisal,Original chronology,,,,,,,,,,,,,
single_entity_id,ndb.speleothem.speleothemid,True,,sisal,Composite link entity,,,,,,,,,,,,,
site_id,ndb.siteid,False,,sisal,Notes,,,,,,,,,,,,,
uncorr_age,ndb.geochronology.age,True,float,sisal,Dating,,,,,,,,,,,,,
uncorr_age_uncert_neg,ndb.geochronology.erroryounger,True,float,sisal,Dating,,,,,,,,,,,,,
uncorr_age_uncert_pos,ndb.geochronology.errorolder,True,float,sisal,Dating,,,,,,,,,,,,,
vegetation_type,ndb.speleothem.vegetation,False,,sisal,Entity,,,,,,,,,,,,,
corresponding_current,-,False,,sisal,Entity,,,,,,,,,,,,,
wokam,--,False,,sisal,Entity,,,,,,,,,,,,,
C14,ndb.geochroncontrols.,False,,sisal,Entity,,,,,,,,,,,,,
Mg_Ca,--,False,,sisal,Entity,,,,,,,,,,,,,
Mg_Ca_downsampled,???,False,,sisal,Entity,,,,,,,,,,,,,
Mg_Ca_downsampling_method,???,False,,sisal,Entity,,,,,,,,,,,,,
ODL,ndb.geochroncontrols. . . ,False,,sisal,Entity,,,,,,,,,,,,,
Sr_Ca,--,False,,sisal,Entity,,,,,,,,,,,,,
Sr_Ca_downsampled,???,False,,sisal,Entity,,,,,,,,,,,,,
Sr_Ca_downsampling_method,???,False,,sisal,Entity,,,,,,,,,,,,,
Ba_Ca,--,False,,sisal,Entity,,,,,,,,,,,,,
Ba_Ca_downsampled,???,False,,sisal,Entity,,,,,,,,,,,,,
Ba_Ca_downsampling_method,???,False,,sisal,Entity,,,,,,,,,,,,,
U_Ca,--,False,,sisal,Entity,,,,,,,,,,,,,
U_Ca_downsampled,---,False,,sisal,Entity,,,,,,,,,,,,,
U_Ca_downsampling_method,???,False,,sisal,Entity,,,,,,,,,,,,,
P_Ca,--,False,,sisal,Entity,,,,,,,,,,,,,
P_Ca_downsampled,---,False,,sisal,Entity,,,,,,,,,,,,,
P_Ca_downsampling_method,???,False,,sisal,Entity,,,,,,,,,,,,,
Sr_isotopes,--,False,,sisal,Entity,,,,,,,,,,,,,
data_DOI_url,ndb.externaldata,False,,sisal,Entity,,,,,,,,,,,,,
min_weight,???,False,,sisal,Dating,,,,,,,,,,,,,
max_weight,???,False,,sisal,Dating,,,,,,,,,,,,,
date_used,--,False,,sisal,Dating,,,,,,,,,,,,,
date_used_Bacon,---,False,,sisal,Dating,,,,,,,,,,,,,
date_used_Bchron,---,False,,sisal,Dating,,,,,,,,,,,,,
date_used_OxCal,---,False,,sisal,Dating,,,,,,,,,,,,,
date_used_StalAge,---,False,,sisal,Dating,,,,,,,,,,,,,
date_used_copRa,---,False,,sisal,Dating,,,,,,,,,,,,,
date_used_lin_interp,---,False,,sisal,Dating,,,,,,,,,,,,,
date_used_lin_reg,---,False,,sisal,Dating,,,,,,,,,,,,,
238U_content,ndb.data.value,True,float,sisal,Dating,,,,,,,238U,238U_content_units,2 Standard Deviations,238U_uncertainty,238U_uncertainty_units,,
238U_uncertainty,ndb.datauncertainties.uncertaintyvalue,True,float,sisal,Dating,,,,,,,238U,,,,,,2 Standard Deviations
232Th_content,ndb.data.value,True,float,sisal,Dating,,,,,,,232Th,232Th_content_units,2 Standard Deviations,232Th_uncertainty,232Th_uncertainty_units,,
232Th_uncertainty,ndb.datauncertainties.uncertaintyvalue,True,float,sisal,Dating,,,,,,,232Th,,,,,,2 Standard Deviations
234U_238U_activity_uncertainty,ndb.uraniumseries.activityuncertainty234u238u,True,float,sisal,Dating,,,,,,,,,,,,,2 Standard Deviations
234U_238U_activity,ndb.uraniumseries.activity234u238u,True,float,sisal,Dating,,,,,,,,,,,,,
230Th_232Th_ratio,ndb.uraniumseries.ratio230th232th,True,float,sisal,Dating,,,,,,,,,,,,,
230Th_238U_activity_uncertainty,ndb.uraniumseries.activityuncertainty230th238u,True,float,sisal,Dating,,,,,,,,,,,,,
230Th_238U_activity,ndb.uraniumseries.activity230th238u,True,float,sisal,Dating,,,,,,,,,,,,,
230Th_content,ndb.data.value,True,float,sisal,Dating,,,,,,,230Th,232Th_content_units,2 Standard Deviations,230Th_uncertainty,2230Th_uncertainty_units,,
230Th_uncertainty,ndb.datauncertainties.uncertaintyvalue,True,float,sisal,Dating,,,,,,,230Th,,,,,,2 Standard Deviations
230Th_232Th_ratio_uncertainty,ndb.uraniumseries.ratiouncertainty230th232th,True,float,sisal,Dating,,,,,,,,,,,,,2 Standard Deviations
ini_230Th_232Th_ratio_uncertainty,ndb.uraniumseries.iniratiouncertainty230th232th,True,float,sisal,Dating,,,,,,,,,,,,,2 Standard Deviations
ini_230Th_232Th_ratio,ndb.uraniumseries.iniratio230th232th,True,float,sisal,Dating,,,,,,,,,,,,,
decay_constant,ndb.uraniumseries.decayconstantid,True,string,sisal,Dating,,,,,,,,,,,,,
arag_corr,???,False,,sisal,Sample,,,,,,,,,,,,,
hiatus,ndb.hiatuses.hiatus,True,string,sisal,,,,,,,,,,,,,,
---,ndb.speleothem.geography,False,,---,---,,,,,,,,,,,,,
